latitude,longitude,tick,Company,radius,TROBA,CODIGO
-80.61999836,-5.228299,INC000001852258,TELEFONICA DEL PERU,8390725.246944664,BAG017,BAG0170527
-80.61989033,-5.2061148,INC000001852099,TELEFONICA DEL PERU,8391110.27920471,BAG017,BAG0170528
-80.61978959,-5.21814122,INC000001851997,TELEFONICA DEL PERU,8390896.663676087,BAG017,BAG0170529
-80.61978827,-5.1896,INC000001846640,TELEFONICA DEL PERU,8391396.284867235,BAG017,BAG0170530
-80.61944884,-5.1943445,INC000001852132,TELEFONICA DEL PERU,8391302.8438201,BAG017,BAG0170531
-80.61944453,-5.21020031,INC000001852260,TELEFONICA DEL PERU,8391025.117301583,BAG017,BAG0170532
-80.6191192,-5.1963214,INC000001852155,TELEFONICA DEL PERU,8391258.15449866,BAG017,BAG0170533
-80.61887754,-5.223949,INC000001852217,TELEFONICA DEL PERU,8390767.0673572,BAG017,BAG0170634
-80.61871303,-5.18963,INC000001852330,TELEFONICA DEL PERU,8391362.901143799,BAG017,BAG0170635
-80.61862853,-5.19121629,INC000001852123,TELEFONICA DEL PERU,8391332.542969124,BAG017,BAG0170636
-80.61858247,-5.18892887,INC000001852235,TELEFONICA DEL PERU,8391371.188290115,BAG017,BAG0170901
-80.6185065,-5.18921743,INC000001847276,TELEFONICA DEL PERU,8391363.814045569,BAG017,BAG0170902
-80.618443,-5.204298,INC000001848407,TELEFONICA DEL PERU,8391097.815822836,BAG017,BAG0170903
-80.6183654,-5.22436667,INC000001852311,TELEFONICA DEL PERU,8390744.071640674,BAG017,BAG0170904
-80.61824416,-5.2270425,INC000001852292,TELEFONICA DEL PERU,8390693.511301482,BAG017,BAG0170905
-80.61807832,-5.19003503,INC000001846291,TELEFONICA DEL PERU,8391336.412650969,BAG017,BAG0170906
-80.61788628,-5.1989618,INC000001852119,TELEFONICA DEL PERU,8391174.2270086,BAG017,BAG0170907
-80.61778372,-5.18952606,INC000001852344,TELEFONICA DEL PERU,8391336.322769575,BAG017,BAG0170908
-80.61738193,-5.20168093,INC000001852214,TELEFONICA DEL PERU,8391111.190067561,BAG017,BAG0171001
-80.617134,-5.228032,INC000001851999,TELEFONICA DEL PERU,8390642.183066262,BAG017,BAG0171002
-80.616795,-5.225447,INC000001852207,TELEFONICA DEL PERU,8390677.063572273,BAG017,BAG0171003
-80.61588409,-5.1900145,INC000001852236,TELEFONICA DEL PERU,8391269.71901306,BAG017,BAG0171004
-80.61565661,-5.19062984,INC000001852127,TELEFONICA DEL PERU,8391251.989583988,BAG017,BAG0171005
-80.61558176,-5.18992225,INC000001851987,TELEFONICA DEL PERU,8391262.09616436,BAG017,BAG0171006
-80.61558151,-5.18994884,INC000001852202,TELEFONICA DEL PERU,8391261.622781089,BAG017,BAG0171007
-80.615372,-5.189601,INC000001502727,TELEFONICA DEL PERU,8391261.313392535,BAG017,BAG0171008
-80.61483666,-5.19040349,INC000001852241,TELEFONICA DEL PERU,8391230.897585468,BAG017,BAG0171101
-80.61411156,-5.1637155,INC000001852109,TELEFONICA DEL PERU,8391676.30308933,BAG017,BAG0171102
-80.61314978,-5.1871135,INC000001852346,TELEFONICA DEL PERU,8391236.991602931,BAG017,BAG0171103
-80.611125,-5.190603,INC000001852334,TELEFONICA DEL PERU,8391113.98169774,BAG017,BAG0171104
-80.61094828,-5.1874105,INC000001814763,TELEFONICA DEL PERU,8391164.528613882,BAG017,BAG0171105
-80.61080308,-5.190047,INC000001852323,TELEFONICA DEL PERU,8391113.888473514,BAG017,BAG0171106
-80.61059802,-5.188286,INC000001852254,TELEFONICA DEL PERU,8391138.484454405,BAG017,BAG0171107
-80.610536,-5.1813065,INC000001852304,TELEFONICA DEL PERU,8391258.909776447,BAG017,BAG0171108
-80.6101843,-5.1906545,INC000001852211,TELEFONICA DEL PERU,8391084.334216585,BAG017,BAG0171201
-80.6099922,-5.18983484,INC000001451087,TELEFONICA DEL PERU,8391092.829774773,BAG017,BAG0171202
-80.609992,-5.189835,INC000001852253,TELEFONICA DEL PERU,8391092.820859542,BAG017,BAG0171203
-80.609969,-5.193919,INC000001852120,TELEFONICA DEL PERU,8391020.54156301,BAG017,BAG0171204
-80.60908352,-5.18713152,INC000001852135,TELEFONICA DEL PERU,8391112.44898622,BAG017,BAG0171205
-80.6081764,-5.1899894,INC000001852215,TELEFONICA DEL PERU,8391034.639098557,BAG017,BAG0171206
-80.6079,-5.190957,INC000001852307,TELEFONICA DEL PERU,8391009.231722398,BAG017,BAG0171207
-80.60784525,-5.190802178,INC000001852136,TELEFONICA DEL PERU,8391010.272819154,BAG017,BAG0171208
-80.607823,-5.177308,INC000001852353,TELEFONICA DEL PERU,8391246.156413838,BAG300,BAG3000101
